,names,scores,logfoldchanges,pvals,pvals_adj,effect_size,significance
0,RPS4Y1,36.46401,,4.126507964896324e-291,2.4749419270793184e-287,1.6148523964099488,Highly Significant
1,S100A8,25.49891,,2.026822189278853e-143,1.5855918109432348e-140,0.8045665411489085,Highly Significant
2,S100A9,25.014261,,4.277115002802172e-138,2.959928086362288e-135,0.7029117592437187,Highly Significant
3,NFKBIA,24.551338,,4.18504454005915e-133,2.596603669285665e-130,0.6997944700359534,Highly Significant
4,IGKC,23.53297,,1.8758061855282304e-122,9.12199478275931e-120,0.5630827277437332,Highly Significant
5,ISG15,20.789341,,5.4048701808502255e-96,1.594259494492428e-93,0.8447222264227544,Highly Significant
6,CLU,20.444164,,6.770706853062422e-93,1.8458383091992753e-90,0.8279171152864717,Highly Significant
7,XAF1,20.120419,,4.889377152936869e-90,1.239078353701311e-87,0.8272832587175126,Highly Significant
8,PPBP,20.080017,,1.1035859616889217e-89,2.7578919734262174e-87,0.7364229737218679,Highly Significant
9,CXCL8,19.679293,,3.244977179849371e-86,7.390743594560725e-84,0.8590215850264988,Highly Significant
10,PLEK,19.668894,,3.9837022883371995e-86,8.959844409256404e-84,0.6540709628888588,Highly Significant
11,NCF1,19.532146,,5.852758568393354e-85,1.2842522551353856e-82,0.6502890998929165,Highly Significant
12,IFI44L,19.430962,,4.223803682865774e-84,8.941047019506338e-82,0.8933552627033221,Highly Significant
13,OAZ1,19.134745,,1.2971413836245359e-81,2.713891269250729e-79,0.5346101810447305,Highly Significant
14,PF4,18.942421,,5.099772226617373e-80,1.0195577963725155e-77,0.7162815146382776,Highly Significant
15,IFI6,18.725618,,3.06101564404117e-78,5.986614617742692e-76,0.7256363811229818,Highly Significant
16,EPSTI1,18.164911,,9.786433569548927e-74,1.7968091756825903e-71,0.7572643309534453,Highly Significant
17,SOD2,18.073051,,5.195932052902166e-73,9.349040542786866e-71,0.6824984737070948,Highly Significant
18,PPP1R15A,17.37835,,1.2036827758758716e-67,1.9688967442122324e-65,0.5551017444461106,Highly Significant
19,DYNLL1,17.297005,,4.9549305429233306e-67,8.03189777106482e-65,0.623176815635473,Highly Significant
20,BCL2A1,17.221924,,1.8184337964878664e-66,2.8700946754566822e-64,0.7070889138622409,Highly Significant
21,MX2,17.173525,,4.191780842063996e-66,6.503980878114948e-64,0.705667369615982,Highly Significant
22,NAMPT,17.173506,,4.1930849878360135e-66,6.503980878114948e-64,0.6780945407729921,Highly Significant
23,SERF2,17.155283,,5.739072417016728e-66,8.825908546955725e-64,0.4139747113639825,Highly Significant
24,DDX3Y,17.10523,,1.356624886995046e-65,2.0686230162459207e-63,0.8472285123446462,Highly Significant
25,G0S2,16.779444,,3.450497936982316e-63,5.047545478058765e-61,0.7447311169513596,Highly Significant
26,TALDO1,16.743637,,6.301747968112283e-63,9.144141225019702e-61,0.5374759644753362,Highly Significant
27,PLSCR1,16.69539,,1.4158800755404242e-62,2.021899222158639e-60,0.6645697582952138,Highly Significant
28,ATP6V0E1,16.647408,,3.159987010165894e-62,4.4769800215681045e-60,0.48482672521122633,Highly Significant
29,PLAC8,16.556305,,1.4418163935933281e-61,2.026765810150371e-59,0.5222289602985288,Highly Significant
30,MX1,16.16292,,9.209442218080582e-59,1.2095291520432403e-56,0.6907751630140438,Highly Significant
31,ARPC1B,15.985995,,1.5999188147155507e-57,2.0272774107871057e-55,0.47025701506585355,Highly Significant
32,KDM6B,15.92699,,4.1170447708800697e-57,5.180278780590566e-55,0.6057656215130808,Highly Significant
33,IFITM3,15.894523,,6.915362965838041e-57,8.581250058229233e-55,0.5978981152080627,Highly Significant
34,MNDA,15.620817,,5.252799457573701e-55,6.259180174842623e-53,0.6364294042641377,Highly Significant
35,S100A12,15.608171,,6.404644265920639e-55,7.581497649783556e-53,0.64797148680286,Highly Significant
36,NRGN,15.032094,,4.5247442109153295e-51,5.0567529557142555e-49,0.5949463347101593,Highly Significant
37,MTRNR2L12,14.973983,,1.0861762972404864e-50,1.1702736596555732e-48,0.47122962620642567,Highly Significant
38,ACSL1,14.960479,,1.3306478249072051e-50,1.4251396615211513e-48,0.6762068457168008,Highly Significant
39,BASP1,14.912856,,2.71869749045841e-50,2.8775014085775395e-48,0.6068140438056975,Highly Significant
40,HIST1H2AC,14.822593,,1.046648427309766e-49,1.0885748643112498e-47,0.6002753977071056,Highly Significant
41,SAT1,14.8003435,,1.4573724841124673e-49,1.5070404084273349e-47,0.4246427969611732,Highly Significant
42,ATP5F1E,14.776288,,2.0833603488174962e-49,2.1298808384246142e-47,0.3121909192072819,Highly Significant
43,CTSA,14.674687,,9.364560300797228e-49,9.519578163403645e-47,0.5552914604684964,Highly Significant
44,SERPINB1,14.641444,,1.5278877824761787e-48,1.5358259703963062e-46,0.4897410035348965,Highly Significant
45,EIF1AY,14.49872,,1.2343059555156965e-47,1.1750723310896257e-45,0.753774663564508,Highly Significant
46,FKBP5,14.425977,,3.5520593124811243e-47,3.363800168919625e-45,0.5923399251345285,Highly Significant
47,GSTO1,14.387452,,6.203944399716403e-47,5.813936020005064e-45,0.5209531072805554,Highly Significant
48,HIST1H1C,14.241506,,5.0624327760801736e-46,4.671197586667208e-44,0.5862845449674908,Highly Significant
49,GCA,14.23934,,5.2218255805953426e-46,4.79368916692102e-44,0.6128169528801645,Highly Significant
50,IL1B,14.2076025,,8.219097664470587e-46,7.431468556624085e-44,0.6961921738671901,Highly Significant
51,IER3,14.191699,,1.0313009321662383e-45,9.278098836233562e-44,0.6083667373687737,Highly Significant
52,LIMS1,14.015143,,1.259428352176133e-44,1.1108281539561353e-42,0.548578830287401,Highly Significant
53,ARPC5,13.886356,,7.663578899324739e-44,6.693726948327671e-42,0.41875859669168125,Highly Significant
54,IRF7,13.86222,,1.0730349017222539e-43,9.282267782061786e-42,0.5588698045422704,Highly Significant
55,SLC25A37,13.756341,,4.665469462989037e-43,3.978473556756481e-41,0.5299712945033176,Highly Significant
56,LY6E,13.726978,,6.9991880326541304e-43,5.91250658551858e-41,0.40339870261748145,Highly Significant
57,ZFP36,13.691162,,1.1466039208744843e-42,9.640581471165699e-41,0.4006865745560483,Highly Significant
58,ACTR3,13.5677185,,6.222912487298707e-42,5.183743721479891e-40,0.42018428757336024,Highly Significant
59,EGR1,13.546326,,8.329605679867554e-42,6.9066633639565386e-40,0.6945954811552938,Highly Significant
60,TYMP,13.433027,,3.87249075247272e-41,3.124561708934603e-39,0.3979318398047897,Highly Significant
61,CLIC1,13.432649,,3.8923702203806037e-41,3.126581132826259e-39,0.33708343237678584,Highly Significant
62,S100A11,13.36422,,9.785532023637534e-41,7.825381231169341e-39,0.4312236179818602,Highly Significant
63,FTL,13.340923,,1.337924351890263e-40,1.0651890647593585e-38,0.3506760565104104,Highly Significant
64,MXD1,13.305901,,2.1389888309572317e-40,1.6880186857637486e-38,0.5782907831326052,Highly Significant
65,SELL,13.269272,,3.489532285178455e-40,2.71805863234701e-38,0.4510139687251964,Highly Significant
66,AQP9,13.1673565,,1.3525160808916512e-39,1.0399923864736529e-37,0.6531170318370062,Highly Significant
67,PYCARD,13.13312,,2.127107699923102e-39,1.6286403763709096e-37,0.4579193683520384,Highly Significant
68,IFI16,13.127099,,2.3031253503650265e-39,1.755937899538895e-37,0.45250720860734234,Highly Significant
69,IFI44,12.956149,,2.168635729130389e-38,1.592663782622167e-36,0.5699612593402755,Highly Significant
70,FPR1,12.947249,,2.4352439416239057e-38,1.7811928553511762e-36,0.5660695439261554,Highly Significant
71,BLVRB,12.9264345,,3.1928486447260467e-38,2.3258674358119742e-36,0.5275332382199458,Highly Significant
72,PLBD1,12.904772,,4.230685517444128e-38,3.044908980614888e-36,0.604640346275463,Highly Significant
73,CD83,12.880979,,5.760088816457284e-38,4.1127491299411074e-36,0.48996893341314574,Highly Significant
74,CARD16,12.853105,,8.262607411910937e-38,5.876248820652708e-36,0.4451728389466061,Highly Significant
75,PSMA7,12.823598,,1.2095495204629163e-37,8.568277370743801e-36,0.34133256752503544,Highly Significant
76,SGK1,12.693087,,6.458945781061903e-37,4.504488815451427e-35,0.58044900342265,Highly Significant
77,SLC2A3,12.677995,,7.831011316017097e-37,5.440285197262379e-35,0.44262071263649694,Highly Significant
78,H2AFJ,12.583353,,2.607226855097895e-36,1.7837198784705864e-34,0.49071912441387905,Highly Significant
79,PPIF,12.32669,,6.506486541024543e-35,4.335970827135356e-33,0.5253807605364127,Highly Significant
80,ISG20,12.250345,,1.6728175073699636e-34,1.1065810812539616e-32,0.4294457166886823,Highly Significant
