,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2021,neutrophil degranulation (GO:0043312),228/481,3.710643118561576e-62,8.565548700741855e-59,0,0,5.18119495514408,732.8752107782616,CDA;GMFG;LGALS3;PSMD6;PSMD7;PNP;ANPEP;FTH1;PSMD3;C3AR1;TBC1D10C;CPNE3;B2M;NHLRC3;SLC11A1;PRKCD;HLA-B;HLA-C;MCEMP1;MIF;RNASE2;BIN2;CRISPLD2;CFD;STXBP2;FPR1;MGST1;FPR2;IQGAP1;CFP;IQGAP2;GNS;PLAC8;SYNGR1;CYB5R3;S100A12;NCKAP1L;LTA4H;CD14;HMOX2;S100A11;ATP6V0A1;CTSA;XRCC6;SURF4;RAB27A;PA2G4;PPBP;LYZ;PRDX6;DERA;BST2;BST1;CYSTM1;CDK13;SERPINA1;CTSZ;GDI2;HBB;PTPRJ;PYGL;CTSS;GLIPR1;ACTR1B;TIMP2;CTSH;QSOX1;CD36;RAC1;CTSD;SPTAN1;CD33;CTSB;CAP1;CD53;CCT2;SERPINB1;DBNL;FCER1G;ANXA2;ANXA3;NFAM1;TUBB;COMMD3;ANO6;TMC6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;CD47;PAFAH1B2;VAMP2;CD44;TLR2;CD63;CSTB;ASAH1;GRN;GSTP1;PTAFR;CST3;PGRMC1;ALOX5;CREG1;PSMB1;ORMDL3;METTL7A;CD58;CD55;LAIR1;DYNC1H1;GCA;LILRB2;TUBB4B;LILRB3;LRG1;PSMC3;QPCT;LAMTOR2;LAMTOR1;CD68;HSPA1A;FCN1;ATP8A1;HP;PYCARD;STK10;LAMP2;SIRPA;OSTF1;KCMF1;DGAT1;CD93;IST1;ADAM10;CYBB;CYBA;ILF2;OSCAR;EEF1A1;CLEC4D;RAB31;DOK3;TYROBP;S100A9;PPIA;KPNB1;S100A8;VCL;FTL;PSMD12;RAB5C;BRI3;C5AR1;UBR4;GPR84;CNN2;SDCBP;DPP7;ATP6V1D;HSPA8;TRAPPC1;DNAJC13;ARPC5;EEF2;NFKB1;DIAPH1;PTPRC;SELL;LCN2;DEGS1;HPSE;HSP90AB1;ITGAM;B4GALT1;DDX3X;TNFAIP6;ITGB2;SNAP23;SLC2A3;HMGB1;ITGAL;SIRPB1;HK3;GM2A;ADGRE5;NAPRT;PGM2;ACTR2;HGSNAT;CR1;APAF1;DYNLT1;RNASET2;ATP6AP2;PLAUR;NDUFC2;DDOST;CKAP4;DNAJC3;FGR;PKM;DNAJC5;TMBIM1;CAT;PECAM1;PDXK;CLEC12A;FGL2;RETN;CAND1;STOM;TMEM30A;CMTM6;MAPK14;CPPED1;RAB10;FCGR2A;RAB14;VAPA;RAB18;MNDA;PTPN6;PTX3;S100P;FOLR3
1,GO_Biological_Process_2021,neutrophil mediated immunity (GO:0002446),230/488,3.992967285339142e-62,8.565548700741855e-59,0,0,5.127357098790268,724.8839098826469,CDA;GMFG;LGALS3;PSMD6;PSMD7;PNP;ANPEP;FTH1;PSMD3;C3AR1;TBC1D10C;CPNE3;B2M;NHLRC3;SLC11A1;PRKCD;HLA-B;HLA-C;MCEMP1;MIF;RNASE2;BIN2;CRISPLD2;CFD;STXBP2;FPR1;MGST1;FPR2;IQGAP1;CFP;IQGAP2;GNS;PLAC8;SYNGR1;CYB5R3;S100A12;NCKAP1L;LTA4H;CD14;HMOX2;S100A11;ATP6V0A1;CTSA;XRCC6;SURF4;RAB27A;PA2G4;PPBP;LYZ;PRDX6;DERA;BST2;BST1;CYSTM1;CDK13;SERPINA1;CTSZ;GDI2;HBB;PTPRJ;PYGL;CTSS;GLIPR1;ACTR1B;TIMP2;CTSH;QSOX1;CD36;RAC1;CTSD;SPTAN1;CD33;CTSB;CAP1;CD53;CCT2;SERPINB1;DBNL;FCER1G;ANXA2;ANXA3;NFAM1;TUBB;COMMD3;ANO6;TMC6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;CD47;PAFAH1B2;VAMP2;CD44;TLR2;CD63;CSTB;ASAH1;GRN;GSTP1;PTAFR;CST3;PGRMC1;ALOX5;CREG1;PSMB1;ORMDL3;METTL7A;CD58;CD55;LAIR1;DYNC1H1;GCA;LILRB2;TUBB4B;LILRB3;LRG1;PSMC3;QPCT;LAMTOR2;LAMTOR1;CD68;HSPA1A;FCN1;ATP8A1;HP;PYCARD;STK10;LAMP2;SIRPA;OSTF1;KCMF1;DGAT1;CD93;IST1;ADAM10;CYBB;CYBA;ILF2;OSCAR;EEF1A1;ADAM17;CLEC4D;RAB31;DOK3;TYROBP;S100A9;PPIA;KPNB1;S100A8;VCL;FTL;KMT2E;PSMD12;RAB5C;BRI3;C5AR1;UBR4;GPR84;CNN2;SDCBP;DPP7;ATP6V1D;HSPA8;TRAPPC1;DNAJC13;ARPC5;EEF2;NFKB1;DIAPH1;PTPRC;SELL;LCN2;DEGS1;HPSE;HSP90AB1;ITGAM;B4GALT1;DDX3X;TNFAIP6;ITGB2;SNAP23;SLC2A3;HMGB1;ITGAL;SIRPB1;HK3;GM2A;ADGRE5;NAPRT;PGM2;ACTR2;HGSNAT;CR1;APAF1;DYNLT1;RNASET2;ATP6AP2;PLAUR;NDUFC2;DDOST;CKAP4;DNAJC3;FGR;PKM;DNAJC5;TMBIM1;CAT;PECAM1;PDXK;CLEC12A;FGL2;RETN;CAND1;STOM;TMEM30A;CMTM6;MAPK14;CPPED1;RAB10;FCGR2A;RAB14;VAPA;RAB18;MNDA;PTPN6;PTX3;S100P;FOLR3
2,GO_Biological_Process_2021,neutrophil activation involved in immune response (GO:0002283),229/485,4.900199485550261e-62,8.565548700741855e-59,0,0,5.143786751988931,726.153518793493,CDA;GMFG;LGALS3;PSMD6;PSMD7;PNP;ANPEP;FTH1;PSMD3;C3AR1;TBC1D10C;CPNE3;B2M;NHLRC3;SLC11A1;PRKCD;HLA-B;HLA-C;MCEMP1;MIF;RNASE2;BIN2;CRISPLD2;CFD;STXBP2;FPR1;MGST1;FPR2;IQGAP1;CFP;IQGAP2;GNS;PLAC8;SYNGR1;CYB5R3;S100A12;NCKAP1L;LTA4H;CD14;HMOX2;S100A11;ATP6V0A1;CTSA;XRCC6;SURF4;RAB27A;PA2G4;PPBP;LYZ;PRDX6;DERA;BST2;BST1;CYSTM1;CDK13;SERPINA1;CTSZ;GDI2;HBB;PTPRJ;PYGL;CTSS;GLIPR1;ACTR1B;TIMP2;CTSH;QSOX1;CD36;RAC1;CTSD;SPTAN1;CD33;CTSB;CAP1;CD53;CCT2;SERPINB1;DBNL;FCER1G;ANXA2;SYK;ANXA3;NFAM1;TUBB;COMMD3;ANO6;TMC6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;CD47;PAFAH1B2;VAMP2;CD44;TLR2;CD63;CSTB;ASAH1;GRN;GSTP1;PTAFR;CST3;PGRMC1;ALOX5;CREG1;PSMB1;ORMDL3;METTL7A;CD58;CD55;LAIR1;DYNC1H1;GCA;LILRB2;TUBB4B;LILRB3;LRG1;PSMC3;QPCT;LAMTOR2;LAMTOR1;CD68;HSPA1A;FCN1;ATP8A1;HP;PYCARD;STK10;LAMP2;SIRPA;OSTF1;KCMF1;DGAT1;CD93;IST1;ADAM10;CYBB;CYBA;ILF2;OSCAR;EEF1A1;CLEC4D;RAB31;DOK3;TYROBP;S100A9;PPIA;KPNB1;S100A8;VCL;FTL;PSMD12;RAB5C;BRI3;C5AR1;UBR4;GPR84;CNN2;SDCBP;DPP7;ATP6V1D;HSPA8;TRAPPC1;DNAJC13;ARPC5;EEF2;NFKB1;DIAPH1;PTPRC;SELL;LCN2;DEGS1;HPSE;HSP90AB1;ITGAM;B4GALT1;DDX3X;TNFAIP6;ITGB2;SNAP23;SLC2A3;HMGB1;ITGAL;SIRPB1;HK3;GM2A;ADGRE5;NAPRT;PGM2;ACTR2;HGSNAT;CR1;APAF1;DYNLT1;RNASET2;ATP6AP2;PLAUR;NDUFC2;DDOST;CKAP4;DNAJC3;FGR;PKM;DNAJC5;TMBIM1;CAT;PECAM1;PDXK;CLEC12A;FGL2;RETN;CAND1;STOM;TMEM30A;CMTM6;MAPK14;CPPED1;RAB10;FCGR2A;RAB14;VAPA;RAB18;MNDA;PTPN6;PTX3;S100P;FOLR3
3,GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),86/94,4.469171842673743e-60,5.859084285745279e-57,0,0,59.78048780487805,8169.476071347257,RPL4;RPL5;RPL30;TRAM1;RPL3;ARL6IP1;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPL39;RPS10;RPS13;RPS12;SEC63;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;SSR2;RPL22;RPS6;RPL13A;RPS3A;RPSA;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
4,GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),84/93,1.4122599343087176e-57,1.481178219102983e-54,0,0,51.86517347386913,6789.263189259053,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPL36A;GSPT1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RWDD1;RPL41;TMA7;RPL35A;RPL23A;RPS26;RPS25;EIF3M;RPS28;RPS27;RPS29;EIF3I;RPL27A;RPS20;RPS21;RPL26L1;RPS24;RPS23
5,GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),82/90,5.760736998237552e-57,5.0348841364596205e-54,0,0,56.924950625411455,7371.569623142117,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS10;RPS13;RPS12;SEC63;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
6,GO_Biological_Process_2021,protein targeting to ER (GO:0045047),86/103,1.0635158992416974e-52,7.967253393747801e-50,0,0,28.116987863042382,3364.839917192018,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;ZFAND2A;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPL39;RPS10;RPS13;RPS12;SEC63;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;SRP9;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;SPCS2;RPS27;SPCS1;RPS29;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
7,GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",88/113,4.5189956576169786e-49,2.962201653567929e-46,0,0,19.567810026385224,2178.2569081208594,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;SMG6;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;MAGOH;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;NCBP2;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;PABPC1;RPL29;UBA52;RBM8A;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;GSPT1;HELZ2;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RNPS1;RPS20;EIF3E;DCP1A;RPS21;RPS24;RPS23
8,GO_Biological_Process_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),111/171,2.4933411268449385e-48,1.4527867632416508e-45,0,0,10.34130940511798,1133.5156895287942,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;ZFP36;RPS16;RPL18A;RPS19;RPS18;MAGOH;ZC3H12A;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RC3H2;PDE12;RPL24;RPL27;RPL26;RPL29;UBA52;DDX5;RBM8A;RPS4Y1;GSPT1;HELZ2;RPL41;RPS26;RPS25;RPS28;CNOT7;PAN3;RPS27;RPS29;AGO1;CNOT2;RPL27A;ATM;RNPS1;RPS20;CNOT8;DCP1A;CNOT9;RPS21;RPS24;RPS23;TUT7;RPLP1;TUT4;RPLP0;TENT4B;SMG6;RPS4X;RPL7A;RPLP2;CNOT6L;NCBP2;RPL13A;RPS3A;PATL2;THRAP3;CSDE1;RPL37A;PABPC1;RPL10;RPL12;RPL11;RPL36A;EXOSC7;EXOSC6;RPS15A;EXOSC9;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;SAMD4A;RPL35A;RPL23A;EIF3E
9,GO_Biological_Process_2021,gene expression (GO:0010467),171/356,1.0952506574891407e-47,5.743494447873055e-45,0,0,5.232822853372192,565.8278359137886,RPL4;RPL5;RPL30;NUP107;RPL3;RPL32;RPL31;RPL34;HNRNPU;RPL8;RPL10A;PWP1;RPL9;RPL6;RPL7;RPS15;RPS14;ALKBH5;RPS17;RPS16;RPL18A;RPS19;CLP1;RPS18;MAGOH;RPL36;EPC1;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;AGFG1;RPS12;DDX17;MEF2A;NUP214;RPS9;NUP210;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;THOC3;CDC40;MRPS18C;SRRM1;EEF1A1;DDX39B;HNRNPUL1;DKC1;SRSF2;RPL24;SRSF3;RPL27;SRSF4;RPL26;SRSF5;RPL29;SRSF6;SRSF7;SLBP;DHX8;RBM8A;BAZ2A;RPS4Y1;GSPT1;MRPL10;NUP160;DEDD2;ATXN1;TPR;RPL41;ALYREF;CPSF2;MRPL23;HNRNPL;RPS26;NR4A2;RPS25;RPS28;RPS27;RPS29;RPL27A;BCL3;HNRNPD;MPHOSPH10;RNPS1;RPS20;RPS21;RSL24D1;RPS24;RPS23;MRPS15;NXT1;MRPS14;RPLP1;CELF2;RPLP0;ADAR;SMG6;DUSP11;RBM3;RPS4X;RBM4;RPL7A;RPLP2;MRPL9;RBM5;RBM6;NCBP2;PABPC4;MRPS21;RPL13A;RPS3A;MRPS7;MRPL43;TOPORS;MRPL44;WDR33;MRPL52;MRPL51;HNRNPH1;RPL37A;RBMS1;NUP54;HNRNPH3;PTMA;SLU7;NUP58;RPL10;RPL12;RPL11;RPL36A;NOL9;U2AF1;TSPAN33;LMF2;U2AF1L4;RBM15B;RPS15A;NXF3;PABPN1;POLR2A;POLR2B;POLR2C;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RAE1;RPL17;SRSF11;POLR2K;RPL19;RBM39;RPL35A;RPL23A;SORL1;TNIP1;RPS6KB2;STUB1
