,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Molecular_Function_2021,RNA binding (GO:0003723),541/1406,4.761527523024805e-105,4.6948661377024574e-102,0,0,3.8837991155778,932.9307498528092,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;HNRNPU;HNRNPR;ENO1;NOC2L;RPL8;RPL9;GPATCH8;RPL6;RRP8;RPL7;LSM10;ALKBH5;ZC3H12A;RPL36;LUC7L;RPL35;RPL38;RPL37;RPL39;DDX17;TYW5;RPL21;RPL23;NGDN;RPL22;FNDC3B;RC3H2;FAM133B;DDX39B;CLNS1A;RPL24;RPL27;RPL26;RPL29;SF1;SLBP;PRKDC;MEPCE;BAZ2A;SNU13;ZC3HAV1;AKAP17A;RPS4Y1;SAMSN1;MRPL10;MTDH;LARP1;LTA4H;BTF3;JUN;PRPF38B;RPL41;MTERF4;EIF2AK2;PRRC2C;PA2G4;MRPL23;MEX3C;PRRC2B;EIF1;MRPL22;HNRNPL;HNRNPM;AGO1;HNRNPD;HNRNPC;CDK13;CPEB4;ARF1;TUT7;TUT4;RPLP0;WDR43;SMG6;MECP2;IFIH1;TUBA1B;RACK1;NELFCD;RRP12;ANXA2;NUDT16L1;MRPL43;SRP9;MRPL44;WDR33;NSA2;SF3B4;SF3B5;GRN;SF3B2;AHNAK;RPL10;RNMT;NIP7;RPL12;SF3B6;SRRT;RPL11;BCLAF1;RPS15A;TCOF1;SRP72;RPL14;RPS3;FLNA;RPL13;RPL15;RPS2;RPS27A;RPL18;SRSF10;RPL17;SF3B1;SRSF11;RPL19;SF3A3;SF3A1;SF3A2;YTHDF2;MDH2;UTP3;SAMD4A;TRMT1;ELP5;TUBB4B;SCAF4;NUDT21;APEX1;TRMT6;ZYX;PKN2;HSPA1A;MSI2;PARK7;RPL10A;BZW1;IPO5;YY1;ZFP36;ZNF207;ZNF326;NUDT16;KPNA2;HMGN2;SLC16A3;PNISR;RPS9;RPS7;EIF1AX;RPS8;RPS5;RPS6;PRPF4B;RPSA;ILF2;ATXN2L;ILF3;NCL;SRSF2;NHP2;SRSF3;S100A4;SRSF4;ERH;SRSF5;SNRPF;SREK1;SNRNP200;SRSF6;SNRPC;SRSF7;KPNB1;SRSF8;SNRPA;SNRPB;KHDRBS1;LRRC59;IREB2;MAZ;NTPCR;CORO1A;HSP90B1;HNRNPDL;G3BP1;TPR;G3BP2;SAFB2;BRIX1;KHDC4;FUS;EEF2;LSM5;LSM4;QKI;LSM8;RCAN3;EIF4G3;RSL24D1;NOP10;EIF4G2;DIDO1;HSP90AB1;CELF1;CELF2;AKAP8L;SYNE1;MRPL4;DUSP11;PTBP1;RPL7A;SART3;SUMO1;SUMO2;MRPL9;METTL16;COA6;EIF5A;EIF5B;RPL13A;EDF1;SMC1A;TSN;PATL2;DNAJC2;PKM;NEMF;SYF2;C1D;RPL37A;SNRPA1;TOP1;SLC25A5;LRP1;NUFIP2;ROCK2;RPL36A;U2AF1;IFI16;POLR2A;POLR2B;EIF4H;SAP18;HNRNPA1;EIF4B;HNRNPA0;HNRNPA3;NOP58;KRR1;CNBP;IMMT;RPL35A;RPL23A;TPD52L2;EIF3L;EIF3I;EIF3G;EIF3H;EIF3E;CEBPZ;P4HB;EIF3D;NOP53;PPIL4;EIF3A;TPT1;EIF3B;METAP2;TNRC6B;EIF4A2;EIF4A1;THUMPD1;IFIT1;IFIT3;UBE2L3;IFIT2;HERC5;RPS15;TIAL1;LGALS3;PNN;RPS14;RPS17;RPS16;SNRPD2;TRIM28;RPL18A;RPS19;SNRPD1;RPS18;DHX57;DHX58;MAGOH;TRIM25;ARL6IP4;CPNE3;RPS11;RPS10;RPS13;EIF2A;SEC63;AGFG1;RPS12;ABT1;SRRM2;IMP3;SCAF11;ACTN1;CIRBP;IMP4;HLA-A;CDC40;JMJD6;SRRM1;GRWD1;KCTD12;EZR;PFN1;EIF1B;DHX8;ANP32A;DHX9;TWF2;TXN;HTATSF1;GSPT1;HELZ2;DHX30;DHX36;PCBP2;MAP4;LYAR;N4BP1;SPTBN1;SRPK2;XRCC6;ZRANB2;PARP12;AIMP1;BST2;CCT6A;RPS26;RPS25;RPS28;RPS27;RPL27A;FUBP1;GOLGB1;MPHOSPH10;SPATS2L;GRB2;RNPS1;RPS20;CALR;NOL11;DCP1A;RPS21;APOBEC3A;SUGP2;RPS24;RPS23;MRPS15;DAZAP1;MRPS14;CCDC124;GDI2;NKAP;C1QBP;SEC61B;CCT3;PRMT1;PABPC4;ZFR;MRPS21;PRPF40A;PPHLN1;MRPS7;HNRNPH1;CSDE1;RPUSD2;CANX;FRG1;STRAP;TLR8;ARHGEF1;PABPC1;HNRNPH3;CSTB;MRPS35;HEATR1;MRPS31;AKAP8;MRPS30;EXOSC7;PURB;EXOSC6;PURA;ATP5F1A;RBM15B;EXOSC9;CTNNA1;RAE1;CCT4;RTRAF;DYNC1H1;NPM1;RFTN1;RSL1D1;HDGF;PRPF31;FAU;TARDBP;ACAA2;PEBP1;NUCKS1;FBL;CHCHD1;PDIA3;ANXA11;NOSIP;WBP11;TUFM;EEF1A1;HNRNPUL1;DKC1;RPL7L1;SBDS;PPIG;PPIB;PPIA;DAP3;ZCCHC8;DDX6;DDX5;RBM8A;RPS19BP1;DDX60;PRPF8;RTN4;ZFP36L2;RPF1;UBC;NLRP1;HSPA9;FDPS;HSPA8;UBE2I;ALYREF;NONO;CPSF2;MSN;HELZ;CWC15;TBCA;EIF2S2;ANKHD1;DIAPH1;EIF2S3;MKRN1;UBE2N;SRPRA;LSM14A;DDX3Y;YWHAE;USP36;RBM25;DDX3X;RBM26;HMGB2;PSIP1;ADAR;CHD3;HMGB1;YBX1;CHD2;TENT4B;ELAVL1;YBX3;OASL;RBM3;RPS4X;RBM4;BUD23;YWHAG;RBM5;RBM33;RBM6;TSFM;DDX58;NCBP2;DDX55;DDX51;RPS3A;TENT5A;CKAP4;SUPV3L1;SFPQ;OAS1;OAS2;THRAP3;OAS3;LUC7L3;MYH9;RBMS1;LUC7L2;RBM22;RBM47;DDX27;DDX24;USP10;DDX21;SAMHD1;ADD1;SELENOH;NXF3;PABPN1;FAM120A;RALY;CFAP20;RBM38;PTCD3;SPEN;RBM39;TAF15;DEK;HSPE1;CDK11B;U2SURP;ACIN1;FAM98B;VIM;RBMX;RAN;RPL26L1
1,GO_Molecular_Function_2021,cadherin binding (GO:0045296),114/322,1.2073619297402765e-18,5.952294313619562e-16,0,0,3.039766620604944,125.41497672107091,MRE11;RPL34;ENO1;PARK7;BZW1;RPL6;PCMT1;SLK;MPRIP;KIF5B;TRIM25;EIF2A;TMPO;SH3GLB1;SH3GLB2;IST1;SWAP70;TMOD3;CSNK1D;ATXN2L;SHTN1;RPL24;EZR;PFN1;RPL29;TLN1;VCL;DDX6;LRRC59;PDXDC1;TWF2;TWF1;ARHGAP18;IQGAP1;ZC3HAV1;CORO1B;RTN4;CNN2;LDHA;LARP1;SNX2;PACSIN2;ARGLU1;S100A11;SNX5;SPTBN1;VASP;HSPA8;HSPA5;EEF2;PRDX6;EHD1;RPS26;DLG1;EIF2S3;FXYD5;EIF4G2;YWHAE;DDX3X;HSP90AB1;ARHGAP1;OLA1;PTPRJ;RPL7A;RACK1;EFHD2;CLIC1;EMD;SPTAN1;NCK1;ANXA1;DBNL;ANXA2;CEMIP2;PKM;CTTN;EEF1D;NUMB;PLIN3;MYH9;CHMP5;RAB1A;AHNAK;CAPG;ASAP1;ADD1;PDLIM1;DNAJB1;CTNNA1;RPL14;EIF4H;FLNA;RPL15;RPS2;EPS15;WASF2;RANBP1;STAT1;RPL23A;PPP1CA;RAB10;RSL1D1;CCS;P2RX4;VAPA;CAPZA1;GLOD4;CTNNB1;ESYT2;PKN2;EIF3E;S100P;RAN;HSPA1A
2,GO_Molecular_Function_2021,mRNA binding (GO:0003729),93/263,2.0067108744388924e-15,6.595389740655826e-13,0,0,3.019938203229756,102.20159242646513,EIF4A1;RPL5;DAZAP1;RBM25;DDX3X;CELF1;CELF2;HNRNPU;HNRNPR;PARK7;ELAVL1;YBX3;RPL7;RPS14;PTBP1;RBM4;ZFP36;C1QBP;ZC3H12A;LUC7L;RPL35;NUDT16;RPS13;RBM5;EIF2A;SRRM2;RPS7;NCBP2;PABPC4;ANGEL2;RPS5;CIRBP;RPL13A;RPS3A;MRPS7;RC3H2;PKM;NCL;LUC7L3;RBMS1;SRSF4;RPL26;PABPC1;SRSF5;SRSF6;LUC7L2;SF1;SLBP;DDX6;KHDRBS1;DDX5;RBM47;RBM8A;DHX9;SF3B6;IREB2;PURB;LARP1;DHX36;PCBP2;G3BP1;TPR;RPS3;G3BP2;RPS2;SF3B1;N4BP1;CCT5;HNRNPA0;RPL41;YTHDF2;CNBP;SAMD4A;EIF2S2;QKI;HNRNPL;RPS26;HNRNPM;NUDT21;RSL1D1;FUBP1;RNPS1;CALR;HNRNPC;DCP1A;TARDBP;EIF4G3;LSM14A;EIF3D;RBMX;EIF4G2;EIF3A;CPEB4
3,GO_Molecular_Function_2021,ubiquitin-like protein ligase binding (GO:0044389),95/282,3.163138417076404e-14,7.797136198093337e-12,0,0,2.803438370088832,87.14383492254134,RB1;YWHAE;RPL5;CD40;CDKN1A;PRR7;UBXN1;HSP90AB1;UBE2D1;UBE2L6;PTPN22;CLU;UBE2L3;ACTG1;LAPTM4B;MAP1LC3B;TUBA1B;CASP8;TRIM28;SUMO1;SUMO3;SUMO2;UBXN7;ELOB;FBXO7;PRKACB;JAK1;GABARAPL2;CCT2;SHPRH;CAMLG;DTX3L;FBXW7;DDX58;RPL23;TUBB;PARP9;SCAMP3;RBX1;TRAF5;TXNIP;TMBIM6;TRIB1;SLC25A5;UBA52;SQSTM1;VCL;OTUB1;RALB;CUL5;CUL3;RPL11;DERL1;CUL1;NEDD8;HIF1A;TANK;RTN4;UBE2J1;ATXN3;BAG5;UBB;POLR2A;PRKAR2B;PRKAR2A;PCBP2;UBC;TNFRSF14;NAE1;RPS27A;RFFL;HSPA9;HSPA8;MOAP1;JUN;SLF1;HSPA5;UBE2B;STAT1;PYHIN1;STAT2;GLMN;LAPTM5;UBE2G1;ISG15;PA2G4;PRDX6;SPART;NFKBIA;DNAJA1;ITCH;UBE2N;STUB1;CALR;HSPA1A
4,GO_Molecular_Function_2021,ubiquitin protein ligase binding (GO:0031625),88/265,6.962573105749956e-13,1.3730194164538912e-10,0,0,2.738890628027965,76.66992175143889,RB1;YWHAE;RPL5;CD40;CDKN1A;UBXN1;HSP90AB1;UBE2D1;UBE2L6;PTPN22;CLU;UBE2L3;ACTG1;LAPTM4B;MAP1LC3B;TUBA1B;CASP8;TRIM28;SUMO1;SUMO2;UBXN7;ELOB;FBXO7;PRKACB;JAK1;GABARAPL2;CCT2;SHPRH;CAMLG;FBXW7;DDX58;RPL23;TUBB;SCAMP3;RBX1;TRAF5;TXNIP;TMBIM6;TRIB1;SLC25A5;UBA52;SQSTM1;VCL;OTUB1;RALB;CUL5;CUL3;RPL11;DERL1;CUL1;NEDD8;HIF1A;TANK;RTN4;UBE2J1;ATXN3;BAG5;UBB;POLR2A;PRKAR2B;PRKAR2A;PCBP2;UBC;TNFRSF14;NAE1;RPS27A;RFFL;HSPA9;HSPA8;MOAP1;JUN;SLF1;HSPA5;UBE2B;PYHIN1;GLMN;LAPTM5;UBE2G1;ISG15;PA2G4;PRDX6;SPART;NFKBIA;DNAJA1;UBE2N;STUB1;CALR;HSPA1A
5,GO_Molecular_Function_2021,double-stranded RNA binding (GO:0003725),36/73,1.6096942015778774e-11,2.645264137926312e-09,0,0,5.31380797139552,132.06083764916815,EIF4A1;DDX3X;HSP90AB1;DHX9;HNRNPU;ADAR;DDX60;ELAVL1;OASL;MTDH;IFIH1;DHX30;TUBA1B;DHX58;DHX36;EIF4H;NLRP1;EIF4B;DDX58;ACTN1;ZFR;RFTN1;EIF2AK2;MSN;TUBB4B;ILF2;RC3H2;MRPL44;SUPV3L1;ILF3;OAS1;OAS2;OAS3;AGO1;TLR8;VIM
6,GO_Molecular_Function_2021,MHC protein binding (GO:0042287),20/28,5.994013049423363e-11,8.442995523902052e-09,0,0,13.606451612903228,320.2642342936236,CD74;LAG3;CD81;FCRL6;TUBB;DERL1;TAP2;LILRB1;KIR3DL2;LILRB2;PILRA;TUBB4B;HLA-E;TAPBP;ATP5F1A;CD4;ATP5F1B;CD8B;CLEC7A;CD8A
7,GO_Molecular_Function_2021,purine ribonucleoside triphosphate binding (GO:0035639),120/460,3.4433468188214327e-09,4.243924954197416e-07,0,0,1.9458823529411764,37.91906290087712,HNRNPU;GIMAP7;RPS6KA5;CLP1;AKT3;TUBB1;PIM1;PDK4;AKT1;NUDT16;PRKACB;TAP2;RUNX3;CLPX;RAB32;EEF1A1;RAB31;BTK;SIK3;TRIB1;CARS2;NAIP;ABCG1;RABL6;ARL8B;PXK;DHX9;TWF2;ARL2;TWF1;STK4;RHOT2;RHOT1;DHX36;HACL1;NLRP1;ABCA1;SRPK2;HSPA9;ABCA2;HSPA8;HSPA5;MLKL;SMARCA5;RAB27A;RAB27B;GLUD1;RHEB;UBA2;GALK1;ABCD4;ARF4;ARF1;HSP90AB1;DYRK2;LRRK2;CHD8;OLA1;PYGL;RAB22A;TUBA1C;TUBA1B;ARL5B;TUBA1A;GUK1;RAC1;MAP4K2;TUBB;RHOH;IRAK3;RHOF;RHOC;RHOA;DNM2;ARL4C;LATS1;ZAP70;ARL4A;OAS1;OAS2;OAS3;MYH9;RHOU;TOP1;ARF5;ARF6;PRPS1;PDXK;RALB;RAB1B;PNKP;VPS4A;NOL9;CDC42;RAB21;ATP5F1A;MKNK2;GBP1;CDK11A;PNPLA8;MX2;MYO9B;TUBB4B;ATP5F1D;CDK11B;RAB10;P2RX5;SNRK;RIT1;P2RX4;RAB14;STK17A;TAOK1;RAB13;RAB9A;KRAS;ABCE1;MYO1F;RAN;HSPA1A
8,GO_Molecular_Function_2021,snRNA binding (GO:0017069),23/43,1.0035866435566229e-08,1.099484922829811e-06,0,0,6.26057474975783,115.30163446087931,EIF5A;CCNT2;CCNT1;NCBP2;MEPCE;DDX21;HNRNPU;SNU13;RNPC3;PRPF8;LSM4;LSM10;CDK9;ISG20;LSM8;SART3;DDX39B;SNRPB2;PRPF31;SNRPA1;SNRPC;SNRPA;RBM22
9,GO_Molecular_Function_2021,pre-mRNA binding (GO:0036002),18/29,1.7343170401294074e-08,1.7100366015675955e-06,0,0,8.898716370669948,159.0206581570819,SLBP;ZRSR2;DDX5;CELF1;CELF2;HNRNPU;U2AF1;RNPC3;PRPF8;U2AF1L4;HNRNPL;PTBP1;RBM4;HNRNPA1;SNRPC;SRSF6;SLU7;RBM22
