,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2021_Human,Coronavirus disease,124/232,5.513736733569888e-41,1.709258387406665e-38,0,0,6.427483558324679,595.8196673759498,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;F13A1;RPL8;RPL10A;RPL9;TNF;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;C3AR1;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;IL6R;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;CYBB;RPSA;ADAM17;RPL24;RPL27;RPL26;RPL29;IL6ST;UBA52;IFNAR1;CFD;C5AR1;PIK3R1;RPS4Y1;PLCG2;NLRP3;JUN;RPL41;EIF2AK2;ISG15;NFKB1;RPS26;NFKBIA;SELP;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;MYD88;RPS23;CXCL8;RPLP1;RPLP0;ADAR;IFIH1;RPS4X;RPL7A;CASP1;RPLP2;JAK1;SYK;DDX58;RPL13A;RPS3A;FOS;TNFRSF1A;OAS1;OAS2;IL1B;OAS3;RPL37A;TLR8;TLR4;TLR2;RPL10;RPL12;RPL11;RPL36A;MAPK8;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;STAT1;STAT2;MX2;MX1;RPL35A;RPL23A;MAPK14;FCGR2A;FAU;RPL26L1
1,KEGG_2021_Human,Ribosome,92/158,1.065478987669046e-34,1.6514924308870214e-32,0,0,7.74032264521036,605.4826265660668,RPL4;RPL5;RPL30;MRPS15;RPL3;RPL32;RPL31;MRPS14;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;MRPL33;RPS15;MRPL4;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;MRPL9;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS21;RPL13A;RPSA;RPS3A;MRPS7;MRPS18C;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;MRPL10;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;MRPL23;MRPL22;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RSL24D1;RPS24;RPL26L1;RPS23
2,KEGG_2021_Human,Epstein-Barr virus infection,87/202,8.132539058240113e-21,8.403623693514782e-19,0,0,4.1816969853352255,193.438669411687,RB1;CD40;CDKN1A;CDKN1B;TNFAIP3;CD3G;CD3E;ITGAL;CD3D;TNF;ICAM1;PSMD8;PSMD6;CCND3;PSMD7;CASP8;CASP3;AKT3;PSMD3;AKT1;CIR1;RAC1;B2M;JAK3;HLA-DPA1;JAK1;MAP2K3;PDIA3;ENTPD1;SYK;APAF1;DDX58;HLA-B;TAP2;HLA-C;HLA-A;HLA-F;RUNX3;HLA-E;SAP30;TAPBP;OAS1;OAS2;OAS3;TRAF5;BTK;IRF7;CD44;HLA-DQB1;TLR2;IFNAR1;PSMD12;HDAC1;PIK3R1;HLA-DMA;MAPK8;HLA-DMB;PLCG2;HES1;CD58;BAK1;MAP2K7;HLA-DQA2;HLA-DQA1;LYN;HLA-DRB5;JUN;GADD45A;STAT1;STAT2;EIF2AK2;ISG15;MAPK14;NFKB1;GADD45G;NFKB2;NFKBIA;PSMC3;HLA-DPB1;HLA-DRA;CALR;CD247;VIM;NFKBIE;MAP3K14;HLA-DRB1;MYD88
3,KEGG_2021_Human,Salmonella infection,94/249,1.0783818849302813e-17,8.357459608209679e-16,0,0,3.351917787774769,130.95434953792957,CYFIP2;ARF1;CXCL8;HSP90AB1;ARPC1B;ARPC5L;GCC2;TNF;ACTB;PIK3CG;ACTG1;PYCARD;TUBA1C;TUBA1B;ACTR1B;TUBA1A;CASP8;KIF5B;CASP3;AKT3;TUBB1;TNFSF10;CASP1;AKT1;KPNA4;RAC1;SKP1;MAP2K3;ACTR3;ACTR2;MAP2K1;MAP2K2;ANXA2;DYNLT1;RIPK2;TUBB;IL18;RHOH;FOS;DYNLL1;DYNLL2;RHOA;DNM2;TNFRSF1A;DYNC1LI2;IL1B;PFN1;MYL9;TLR4;NAIP;ARF6;TLR2;ARL8B;DCTN6;DYNC1I2;RAB5C;AHNAK;ROCK2;TCF7;DCTN3;LEF1;LY96;TXN;MYL12A;HSP90B1;CDC42;PAK1;MAPK8;RPS3;FLNA;NLRP3;NCKAP1L;CD14;BAK1;MAP2K7;CYTH1;S100A10;DYNC1H1;JUN;MLKL;ARPC5;TUBB4B;MAPK14;NFKB1;NFKBIA;SNX18;PTPRC;ARPC2;ARPC3;CTNNB1;RAB9A;PKN1;DYNLRB1;MYD88
4,KEGG_2021_Human,Influenza A,73/172,2.8907790197886037e-17,1.7922829922689346e-15,0,0,4.061000553616241,154.65273096940177,CXCL8;NXT1;ADAR;TNF;ACTB;ACTG1;ICAM1;PYCARD;IFIH1;CCND3;CASP8;XPO1;CASP3;AKT3;KPNA6;TNFSF10;CASP1;AKT1;TRIM25;KPNA5;KPNA2;JAK2;HLA-DPA1;JAK1;MAP2K1;MAP2K2;RSAD2;APAF1;DDX58;IFNGR1;IFNGR2;IL18;TNFRSF1A;DNAJC3;HNRNPUL1;OAS1;OAS2;IL1B;OAS3;IRF7;VDAC1;SLC25A5;TLR4;IFNAR1;HLA-DQB1;SLC25A6;PIK3R1;SOCS3;DNAJB1;HLA-DMA;HLA-DMB;NXF3;PABPN1;CCL5;NLRP3;BAK1;HLA-DQA2;RAE1;HLA-DQA1;FDPS;HLA-DRB5;STAT1;MX2;STAT2;MX1;EIF2AK2;NFKB1;RAB11A;NFKBIA;HLA-DPB1;HLA-DRA;HLA-DRB1;MYD88
5,KEGG_2021_Human,Osteoclast differentiation,60/127,4.1129834159565755e-17,2.125041431577564e-15,0,0,4.920398009950249,185.64562261990625,SPI1;NCF1;NCF2;ITGB3;NCF4;TNF;SIRPB1;FCGR3A;PPP3CC;AKT3;AKT1;SIRPA;RAC1;JUNB;JAK1;MAP2K1;SYK;IFNGR1;IFNGR2;CYBA;FOS;OSCAR;TNFRSF1A;TYROBP;LCK;IL1B;BTK;LCP2;SQSTM1;IFNAR1;LILRA6;PIK3R1;LILRA5;SOCS3;MAPK8;SOCS1;PLCG2;FYN;MAP2K7;FCGR1A;JUN;JUND;TGFB1;STAT1;STAT2;LILRB1;LILRB2;LILRB3;MAPK14;LILRB4;NFKB1;NFKB2;FOSL1;NFKBIA;CYLD;FCGR2A;CAMK4;FOSB;GRB2;MAP3K14
6,KEGG_2021_Human,Th17 cell differentiation,53/107,2.1501857041047815e-16,9.25864643536358e-15,0,0,5.384547573331401,194.2519005212269,HSP90AB1;RORA;CD3G;AHR;IL1RAP;CD3E;CD3D;IL27RA;PPP3CC;JAK2;IL6R;JAK3;HLA-DPA1;JAK1;IL4R;IFNGR1;IFNGR2;FOS;RUNX1;ZAP70;LCK;IL1B;RARA;PRKCQ;IL6ST;HLA-DQB1;GATA3;IL2RG;HIF1A;HLA-DMA;MAPK8;HLA-DMB;TBX21;STAT6;IL12RB1;HLA-DQA2;HLA-DQA1;HLA-DRB5;JUN;TGFB1;STAT1;NFATC3;MAPK14;NFKB1;NFKBIA;CD4;IL2RB;HLA-DPB1;HLA-DRA;CD247;NFKBIE;HLA-DRB1;LAT
7,KEGG_2021_Human,Phagosome,66/152,2.389328112351892e-16,9.25864643536358e-15,0,0,4.220176360396582,151.8012177320831,ITGAM;NCF1;NCF2;ITGB3;NCF4;ITGB2;ACTB;CTSS;ACTG1;EEA1;TUBA1C;FCGR3A;TUBA1B;TUBA1A;CTSL;LAMP2;TUBB1;CD36;RAC1;SEC61B;HLA-DPA1;ATP6V1G1;ATP6V0B;ATP6V0E1;TUBB;STX7;HLA-B;TAP2;CYBB;HLA-C;CYBA;HLA-A;HLA-F;HLA-E;DYNC1LI2;CANX;ATP6V1B2;ATP6V0D1;TLR4;HLA-DQB1;TLR2;ATP6V1A;DYNC1I2;RAB5C;CORO1A;THBS1;HLA-DMA;HLA-DMB;CLEC7A;ATP6V1H;CD14;ATP6V0E2;FCGR1A;ATP6V1D;HLA-DQA2;HLA-DQA1;ATP6V0A1;ATP6V1F;DYNC1H1;HLA-DRB5;TUBB4B;FCGR2A;HLA-DPB1;HLA-DRA;CALR;HLA-DRB1
8,KEGG_2021_Human,Shigellosis,90/246,5.194161087740835e-16,1.789099930221843e-14,0,0,3.184310738766184,112.06807921943847,ARF1;GSK3A;CXCL8;ARPC1B;UBE2D2;ARPC5L;UBE2D1;ILK;TNF;ACTB;HK2;ACTG1;HK1;PYCARD;HK3;RPS6KA5;CAPNS1;AKT3;CASP1;AKT1;RAC1;SKP1;ACTR3;GABARAPL2;ACTR2;FNBP1;RIPK2;ACTN1;PRKCD;IL18;WIPI1;WIPI2;ATG12;RHOA;RBX1;TNFRSF1A;CTTN;IL1B;TRAF5;HCLS1;PRKCQ;VDAC1;RBCK1;PFN1;TLN1;MYL9;UBA52;TLR4;SQSTM1;NAIP;CD44;PPID;VCL;ARF6;ROCK2;PXN;CUL1;ITPR2;U2AF1;PIK3R1;FOXO3;MYL12A;U2AF1L4;CDC42;MAPK8;UBB;CCL5;UBC;PLCG2;NLRP3;CD14;RPS27A;WASF2;CYTH1;JUN;GLMN;ARPC5;MAPK14;NFKB1;NFKBIA;DIAPH1;ARPC2;TNIP1;ARPC3;ATG16L1;RPS6KB2;UBE2N;ATM;MYD88;BCL2L1
9,KEGG_2021_Human,Spliceosome,64/150,1.9026171644319088e-15,5.898113209738917e-14,0,0,4.089614026543285,138.61970036546575,RBM25;HNRNPU;SNRPD2;SNRPD1;MAGOH;BCAS2;NCBP2;THOC3;PRPF40A;WBP11;CDC40;DDX39B;SYF2;SRSF2;SRSF3;PPIH;SRSF4;SNRPA1;SNRPF;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SLU7;SNRPA;SRSF8;SNRPB;RBM22;SF3B4;SF3B5;DDX5;SF3B2;DHX8;RBM8A;SF3B6;SNU13;U2AF1;PRPF8;U2AF1L4;SNRPB2;HNRNPA1;SF3B1;SRSF10;SF3A3;HSPA8;PRPF38B;HNRNPA3;SF3A1;SF3A2;CCDC12;FUS;ALYREF;CWC15;LSM5;LSM4;U2SURP;HNRNPM;LSM8;ACIN1;PRPF31;HNRNPC;RBMX;HSPA1A
