,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,Reactome_2022,Immune System R-HSA-168256,674/1943,6.392206529048042e-108,1.0387335609703068e-104,0,0,3.389788058791729,836.6814224790706,CYFIP2;CDA;NUP107;WIPF1;GMFG;PSMD8;PSMD6;RNF115;PSMD7;RNF114;AKT3;PSMD3;C3AR1;AKT1;PRKACB;NUP214;MEF2A;MEF2C;WSB1;NUP210;NHLRC3;PRKCD;RNASE6;MCEMP1;RNASE2;ATG12;SIGIRR;DYNC1LI2;RNF126;RNF125;BIN2;PSME4;PSME1;ORAI1;TXNIP;SERPING1;PRKCQ;RBCK1;UBA52;PRKDC;FPR1;GATA3;FPR2;IQGAP1;CFP;IQGAP2;MEFV;GNS;HIF1A;ANAPC11;PLAC8;PRDX5;CYB5R3;RNF216;PLCG2;S100A12;NCKAP1L;LTA4H;HLA-DQA2;HLA-DQA1;HMOX2;S100A11;LYN;HLA-DRB5;JUN;FYB1;NFATC3;EIF2AK2;LNPEP;PA2G4;LYZ;MEX3C;TREML1;CYLD;REL;HNRNPC;CDK13;HLA-DRB1;RNF220;ITK;CDKN1A;CDKN1B;SERPINA1;ARPC1B;RPLP0;CLTA;PYGL;IFIH1;EEA1;TRIM8;GNLY;TIMP2;ELOB;TIMP1;JAK2;JAK3;JAK1;HLA-DPA1;HAVCR2;SERPINB1;ANXA1;SERPINB2;ANXA2;GSTO1;RIPK2;IFNGR1;IFNGR2;NFAM1;FOS;TMC6;DYNLL1;DYNLL2;DUSP6;SERPINB6;PSMA4;PELI1;HCST;PAFAH1B2;VAMP2;GRN;ASAH1;GSTP1;PTAFR;PTGS2;TANK;PSMA7;HLA-DMA;HLA-DMB;PSMB2;PSMB3;ALOX5;PSMB1;AP2S1;STAT4;FLNA;RICTOR;STAT6;STX3;METTL7A;IL12RB1;RPS27A;RNF130;STAT1;IL10RA;STAT2;KIR3DL2;TUBB4B;PSMB8;PSMB9;LRG1;PSMC3;PKN2;LAMTOR2;PKN1;SIGLEC1;LAMTOR1;SIGLEC7;HSPA1A;CRCP;MRE11;CSF3R;NCF1;ATP8A1;NCF2;UBE2D2;NCF4;CLSTN1;F13A1;UBE2D1;RNF19B;RORA;IRS2;IL1RAP;FBXO21;CLU;TNF;PYCARD;STK10;GRAP2;RNF19A;LAMP2;KPNA4;KPNA5;KPNA2;AP2M1;FBXW4;KCMF1;MAP2K3;MYLIP;MAP2K1;LAG3;DGAT1;FBXW7;IST1;UBE2E3;CNPY3;ILF2;RBX1;RAB31;CLEC4D;JAML;MAPKAPK2;ANAPC5;IL6ST;CLEC4E;S100A9;SQSTM1;ANAPC1;KPNB1;S100A8;FTL;IFNAR1;BLK;RAB5C;CUL5;CUL3;UBR4;CUL1;LY96;ITPR2;UBR2;GPR84;FOXO3;HSP90B1;SOCS3;SOCS1;HNRNPDL;CLEC7A;TPR;THEM4;TNFRSF14;MAP2K7;MCL1;TRAPPC1;POLR3GL;CD160;GLMN;LY86;ARPC5;FBXO32;EEF2;NFKB1;NFKB2;PTPRC;ARPC2;BCL6;ARPC3;LCN2;TPP2;HLA-DRA;HPSE;XAF1;MAP3K14;EIF4G3;MYD88;EIF4G2;BCL2L1;ITGAM;HSP90AB1;ITGB2;SNAP23;PTEN;PTPN22;ITGAL;TREM1;TNFSF13B;SUMO1;GM2A;PGM2;TRIM69;ITGB7;CLEC1B;UNKL;NCK1;ACTR3;ACTR2;CR1;APAF1;ITGA4;DTX3L;RNASET2;NDUFC2;DDOST;TNFRSF1A;DNAJC3;PPM1B;PKM;LCK;DNAJC5;TMBIM1;PECAM1;POLR1D;LCP2;TNFRSF25;EVL;SNRPA1;SEC23A;CEBPD;MGRN1;UNC93B1;FGL2;IL2RG;CDC42;FBXL20;HECTD1;IFI16;CCL5;CCL3;FYN;FCGR1A;WASF2;POLR2K;PTPN18;SEC24A;ERAP2;PTPN12;CPPED1;ATOX1;RAB10;GZMM;FCGR2A;RAB14;VAPA;IL2RB;POLR3E;PDCD4;RAB18;STUB1;CCM2;PTPN6;MNDA;CD247;P4HB;PTPN7;FOLR3;PIK3AP1;PTPN4;CLEC2D;NECTIN2;IFITM3;EIF4A2;EIF4A1;APP;IL1RN;IFITM2;ICAM2;ICAM3;CBLB;UBE2L6;IFI35;IFIT1;IFI30;IFIT3;ICAM1;IL27RA;IFIT2;UBE2L3;HERC5;LGALS3;RPS6KA3;MT2A;RPS6KA5;HERC1;ANPEP;FTH1;DHX58;TBC1D10C;TRIM25;CPNE3;FBXO6;LGALS9;FBXO7;B2M;TRIM22;FBXO9;HERC6;SKP1;ATP6V1G1;ATP6V0E1;RSAD2;IL1R2;SLC11A1;AP1B1;HLA-B;TALDO1;FLT3LG;HLA-C;HLA-A;HLA-F;HLA-E;PLPP5;IFI27;CRISPLD2;PDE12;BTK;TRIM14;ATP6V0D1;ALPK1;AURKAIP1;TRIM11;DHX9;TXK;STXBP2;MGST1;CD1D;PIK3R1;UBE2J1;CD79A;SYNGR1;INPP5D;DHX36;PCBP2;N4BP1;ATP6V0A1;VASP;CCR1;CTSA;EGR1;XRCC6;YES1;BCL11B;SIAH2;SH2D1A;SURF4;RAB27A;PPBP;PILRA;DERA;BST2;BST1;CD28;GRB2;CYSTM1;CALR;CALM1;CD22;CD40;CTSZ;GDI2;AP2A1;PTPRJ;CD3E;CD3D;CTSS;GLIPR1;ACTR1B;CTSL;ARIH2;CTSH;QSOX1;SEC61B;CD36;SPTAN1;CTSD;CD33;CTSB;CAP1;CD53;CCT2;ATP6V0B;FCER1G;DBNL;SYK;BTN3A1;TUBB;IL18;COMMD3;IL16;ANO6;KIF22;BTN3A2;RHOF;RHOA;APRT;IL17RA;RNF144B;HCK;NCR3;IL1B;CANX;TAX1BP1;TLR8;RHOU;CD47;TLR4;CD44;TLR2;LILRA6;DYNC1I2;CSTB;CD63;SP100;IFI6;WAS;LILRA5;CST3;PGRMC1;CREG1;ORMDL3;CD58;ATP6V0E2;LAIR1;CD55;IL32;DYNC1H1;CD74;GCA;MIB2;KLHL2;MYO9B;UBE2G1;LILRB1;UBE2G2;LILRB2;LILRB4;VEGFA;BATF;FKBP1A;ITCH;CAPZA1;QPCT;CAPZA2;CTNNB1;CD68;FCN1;CD81;INPPL1;ACTG1;KIF5B;SIRPA;OSTF1;IL6R;PDIA3;CD96;IL4R;CD93;ADAM10;CYBB;CYBA;OSCAR;EEF1A1;ADAM17;TYROBP;DOK3;CD8B;CD8A;KLRF1;CD300E;PPIA;VCL;ATP6V1A;PSMD12;KLRB1;C5AR1;DAPP1;CSF2RB;RASGRP2;RASGRP1;CSF2RA;NUP160;CNN2;SDCBP;DPP7;UBB;IRAK2;UBC;NLRP3;ATP6V1H;NLRP1;KLRC1;ATP6V1D;CD99;ATP6V1F;UBE2F;HSPA9;RAP1GAP2;HSPA8;TGFB1;UBE2B;HSPA5;MSN;ISG15;DNAJC13;KLHL20;ISG20;NFKBIA;DIAPH1;SELL;MKRN1;UBE2N;DEGS1;KLRD1;IL7R;BRWD1;NFKBIE;UBE2M;PRR5;DDX3X;B4GALT1;CXCL8;TNFAIP6;TNFAIP3;ADAR;SLC2A3;HMGB1;CXCL2;SIRPB1;LMNB1;OASL;CASP8;ADGRE5;PPP2R5E;UBE2Q2;CASP3;NAPRT;CASP1;CASP2;HGSNAT;EGFL7;DYNLT1;ATP6AP2;PLAUR;IRAK3;PPP2R5C;PJA2;CKAP4;TAPBP;DNM2;FGR;ZAP70;AIM2;OAS1;OAS2;OAS3;IRF1;IRF2;ATP6V1B2;IRF7;MYH9;IRF8;NUP54;LTB;NUP58;DCTN6;USP14;PDXK;CLEC12A;DCTN3;RETN;RNF7;RNF4;SAMHD1;USP18;PSMB10;MAPK8;CAND1;S1PR1;PTK2B;STOM;GBP1;KLRG1;TMEM30A;TRAT1;MX2;MX1;CMTM6;MAPK14;POMC;CD4;ASB8;PTX3;S100P;VIM;ABCE1
1,Reactome_2022,Innate Immune System R-HSA-168249,383/1035,2.3357783922564222e-67,1.897819943708343e-64,0,0,3.4829030038262303,534.3638919510065,CYFIP2;CDA;APP;WIPF1;GMFG;ICAM2;ICAM3;UBE2L6;PSMD8;HERC5;LGALS3;RPS6KA3;PSMD6;PSMD7;RPS6KA5;ANPEP;FTH1;PSMD3;DHX58;C3AR1;TBC1D10C;TRIM25;CPNE3;PRKACB;B2M;SKP1;MEF2A;MEF2C;ATP6V1G1;ATP6V0E1;NHLRC3;SLC11A1;PRKCD;RNASE6;HLA-B;HLA-C;MCEMP1;HLA-A;RNASE2;ATG12;HLA-E;SIGIRR;PLPP5;RNF125;BIN2;CRISPLD2;PSME4;PSME1;BTK;TXNIP;SERPING1;PRKCQ;ALPK1;ATP6V0D1;UBA52;DHX9;PRKDC;TXK;FPR1;MGST1;FPR2;IQGAP1;PIK3R1;IQGAP2;CFP;MEFV;GNS;PLAC8;SYNGR1;PRDX5;CYB5R3;RNF216;DHX36;PCBP2;PLCG2;S100A12;NCKAP1L;LTA4H;N4BP1;HMOX2;S100A11;ATP6V0A1;LYN;CTSA;JUN;XRCC6;YES1;SURF4;NFATC3;RAB27A;PPBP;PA2G4;LYZ;DERA;BST2;BST1;CYLD;CYSTM1;GRB2;HNRNPC;CALM1;CDK13;ITK;SERPINA1;ARPC1B;CTSZ;GDI2;PTPRJ;PYGL;CTSS;EEA1;IFIH1;GLIPR1;ACTR1B;CTSL;GNLY;TIMP2;CTSH;QSOX1;CD36;CTSD;SPTAN1;CD33;CTSB;CAP1;CD53;CCT2;SERPINB1;ATP6V0B;DBNL;FCER1G;SYK;ANXA2;RIPK2;NFAM1;TUBB;COMMD3;ANO6;FOS;TMC6;RHOF;DYNLL1;DUSP6;RHOA;APRT;SERPINB6;HCK;PSMA4;IL1B;PELI1;TAX1BP1;TLR8;CD47;TLR4;PAFAH1B2;CD44;TLR2;LILRA6;CD63;CSTB;ASAH1;GRN;GSTP1;PTAFR;WAS;TANK;PSMA7;CST3;PGRMC1;PSMB2;PSMB3;CREG1;ALOX5;PSMB1;ORMDL3;STAT6;CD58;METTL7A;RPS27A;ATP6V0E2;CD55;LAIR1;DYNC1H1;GCA;MYO9B;LILRB2;TUBB4B;PSMB8;PSMB9;ITCH;LRG1;PSMC3;CAPZA1;QPCT;CAPZA2;CTNNB1;PKN2;LAMTOR2;PKN1;LAMTOR1;CD68;HSPA1A;FCN1;CRCP;MRE11;NCF1;ATP8A1;NCF2;CD81;UBE2D2;NCF4;UBE2D1;CLU;ACTG1;PYCARD;STK10;GRAP2;LAMP2;SIRPA;OSTF1;KCMF1;MAP2K3;MAP2K1;DGAT1;CD93;IST1;ADAM10;CYBB;CYBA;CNPY3;ILF2;OSCAR;EEF1A1;DOK3;TYROBP;CLEC4D;RAB31;MAPKAPK2;CD300E;CLEC4E;S100A9;PPIA;KPNB1;S100A8;VCL;FTL;ATP6V1A;PSMD12;RAB5C;C5AR1;CUL1;UBR4;LY96;ITPR2;GPR84;RASGRP2;RASGRP1;HSP90B1;CNN2;SDCBP;SOCS1;DPP7;UBB;IRAK2;CLEC7A;UBC;ATP6V1H;NLRP3;NLRP1;MAP2K7;ATP6V1D;ATP6V1F;HSPA8;TRAPPC1;POLR3GL;LY86;ISG15;DNAJC13;ARPC5;EEF2;NFKB1;NFKB2;NFKBIA;DIAPH1;PTPRC;ARPC2;SELL;ARPC3;LCN2;UBE2N;DEGS1;KLRD1;HPSE;MAP3K14;MYD88;UBE2M;BCL2L1;HSP90AB1;ITGAM;DDX3X;B4GALT1;TNFAIP6;ITGB2;SNAP23;TNFAIP3;SLC2A3;HMGB1;ITGAL;TREM1;SIRPB1;CASP8;ADGRE5;GM2A;NAPRT;CASP1;PGM2;CASP2;NCK1;ACTR3;ACTR2;HGSNAT;EGFL7;CR1;APAF1;DYNLT1;RNASET2;ATP6AP2;PLAUR;NDUFC2;IRAK3;DDOST;CKAP4;DNM2;DNAJC3;FGR;PKM;AIM2;LCK;DNAJC5;TMBIM1;ATP6V1B2;IRF7;PECAM1;POLR1D;MYH9;LCP2;USP14;PDXK;CLEC12A;UNC93B1;FGL2;RETN;USP18;PSMB10;CDC42;MAPK8;CAND1;IFI16;STOM;FYN;FCGR1A;WASF2;POLR2K;TMEM30A;CMTM6;MAPK14;ATOX1;CPPED1;RAB10;GZMM;CD4;FCGR2A;RAB14;VAPA;POLR3E;RAB18;PTPN6;PTX3;S100P;MNDA;CD247;FOLR3;PTPN4
2,Reactome_2022,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,94/108,6.084066753112169e-61,3.295536157935758e-58,0,0,37.423378340100086,5188.826902023531,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;EIF1AX;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;RPL26;PABPC1;RPL29;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;EIF4H;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;EIF4B;RPL19;RPL41;RPL35A;RPL23A;EIF2S2;RPS25;RPS28;EIF3M;EIF2S3;RPS27;EIF3K;RPS29;EIF3L;RPL27A;EIF3I;EIF3G;EIF3H;RPS20;EIF3E;EIF3F;FAU;RPS21;RSL24D1;EIF3D;RPS24;EIF3A;RPL26L1;RPS23;EIF3B
3,Reactome_2022,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,94/109,3.756714144178266e-60,1.526165121072421e-57,0,0,34.926415510024235,4779.035950953229,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;EIF5B;RPS9;RPL21;RPS7;EIF1AX;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;EIF4H;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;EIF4B;RPL19;RPL41;RPL35A;RPL23A;EIF2S2;RPS25;RPS28;EIF3M;EIF2S3;RPS27;EIF3K;RPS29;EIF3L;RPL27A;EIF3I;EIF3G;EIF3H;RPS20;EIF3E;EIF3F;FAU;RPS21;RSL24D1;EIF3D;RPS24;EIF3A;RPL26L1;RPS23;EIF3B
4,Reactome_2022,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,87/98,4.2031389452881496e-58,1.3660201572186487e-55,0,0,43.98893984353925,5811.559363643042,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;EIF1AX;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;EIF3M;RPS27;EIF3K;RPS29;EIF3L;RPL27A;EIF3I;EIF3G;EIF3H;RPS20;EIF3E;EIF3F;FAU;RPS21;RSL24D1;EIF3D;RPS24;EIF3A;RPL26L1;RPS23;EIF3B
5,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,217/468,4.640822867244516e-57,1.2568895265453895e-54,0,0,4.95227906836313,642.3722936706497,CDA;GMFG;LGALS3;PSMD6;PSMD7;ANPEP;FTH1;PSMD3;C3AR1;TBC1D10C;CPNE3;B2M;NHLRC3;SLC11A1;PRKCD;HLA-B;HLA-C;MCEMP1;HLA-A;RNASE2;BIN2;CRISPLD2;FPR1;MGST1;FPR2;IQGAP1;CFP;IQGAP2;GNS;PLAC8;PRDX5;SYNGR1;CYB5R3;S100A12;NCKAP1L;LTA4H;HMOX2;S100A11;ATP6V0A1;CTSA;XRCC6;SURF4;RAB27A;PA2G4;PPBP;LYZ;DERA;BST2;BST1;CYSTM1;CDK13;SERPINA1;CTSZ;GDI2;PTPRJ;PYGL;CTSS;GLIPR1;ACTR1B;TIMP2;CTSH;QSOX1;CD36;CTSD;SPTAN1;CD33;CTSB;CAP1;CD53;CCT2;SERPINB1;DBNL;FCER1G;ANXA2;NFAM1;TUBB;COMMD3;ANO6;TMC6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;CD47;PAFAH1B2;CD44;TLR2;LILRA6;CD63;CSTB;ASAH1;GRN;GSTP1;PTAFR;CST3;PGRMC1;ALOX5;CREG1;PSMB1;ORMDL3;METTL7A;CD58;CD55;LAIR1;DYNC1H1;GCA;LILRB2;TUBB4B;LRG1;PSMC3;QPCT;LAMTOR2;LAMTOR1;CD68;HSPA1A;FCN1;ATP8A1;PYCARD;STK10;LAMP2;SIRPA;OSTF1;KCMF1;DGAT1;CD93;IST1;ADAM10;CYBB;CYBA;ILF2;OSCAR;EEF1A1;CLEC4D;RAB31;DOK3;TYROBP;S100A9;PPIA;KPNB1;S100A8;VCL;FTL;PSMD12;RAB5C;C5AR1;UBR4;GPR84;CNN2;SDCBP;DPP7;ATP6V1D;HSPA8;TRAPPC1;DNAJC13;ARPC5;EEF2;NFKB1;DIAPH1;PTPRC;SELL;LCN2;DEGS1;HPSE;HSP90AB1;ITGAM;B4GALT1;DDX3X;TNFAIP6;ITGB2;SNAP23;SLC2A3;HMGB1;ITGAL;SIRPB1;GM2A;ADGRE5;NAPRT;PGM2;ACTR2;HGSNAT;EGFL7;CR1;APAF1;DYNLT1;RNASET2;ATP6AP2;PLAUR;NDUFC2;DDOST;CKAP4;DNAJC3;FGR;PKM;DNAJC5;TMBIM1;PECAM1;PDXK;CLEC12A;FGL2;RETN;CAND1;STOM;TMEM30A;CMTM6;MAPK14;CPPED1;RAB10;FCGR2A;RAB14;VAPA;RAB18;MNDA;PTPN6;PTX3;S100P;FOLR3
6,Reactome_2022,Cap-dependent Translation Initiation R-HSA-72737,95/116,1.3611920727176696e-56,3.159910168808876e-54,0,0,25.212199921290832,3243.2067440765886,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;EIF5B;RPS9;RPL21;RPS7;EIF1AX;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;RPL26;PABPC1;RPL29;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;EIF4H;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;EIF4B;RPL19;RPL41;RPL35A;RPL23A;EIF2S2;RPS25;RPS28;EIF3M;EIF2S3;RPS27;EIF3K;RPS29;EIF3L;RPL27A;EIF3I;EIF3G;EIF3H;RPS20;EIF3E;EIF3F;FAU;RPS21;RSL24D1;EIF3D;RPS24;EIF3A;RPL26L1;RPS23;EIF3B
7,Reactome_2022,Peptide Chain Elongation R-HSA-156902,77/86,3.502591029160462e-52,7.114638027982188e-50,0,0,47.43370942417936,5619.989619201002,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;EEF1A1;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RSL24D1;RPL26L1;RPS24;RPS23
8,Reactome_2022,Eukaryotic Translation Elongation R-HSA-156842,79/90,5.332186519724696e-52,9.627558993947366e-50,0,0,39.83889868763266,4703.406810290479,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;EEF1A1;EEF1D;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RSL24D1;RPL26L1;RPS24;RPS23
9,Reactome_2022,Infectious Disease R-HSA-5663205,333/961,1.056783112044762e-50,1.7172725570727384e-48,0,0,3.0921064359320685,355.821133793104,CYFIP2;RB1;RPL4;RPL5;RPL30;NUP107;RPL3;RPL32;CCNH;RPL31;WIPF1;RPL34;ENO1;RPL8;RPL9;RPL6;RPL7;PSMD8;RPS15;RPS14;PSMD6;RPS17;PSMD7;RPS16;SNRPD2;TRIM28;RPL18A;RPS19;AKT3;PSMD3;C3AR1;RPL36;AKT1;TRIM25;RPL35;RPL38;RPL37;RPS11;PRKACB;RPL39;B2M;RPS10;RPS13;RPS12;SKP1;NUP214;ENTPD1;NUP210;RPL21;RPL23;RPL22;AP1B1;HLA-B;HLA-C;MOGS;HLA-A;HLA-F;HLA-E;DYNC1LI2;PSME4;PSME1;BTK;TXNIP;RPL27;RPL26;RPL29;UBA52;CBLL1;VPS28;SUPT4H1;MEFV;RPS4Y1;CD79A;BLOC1S6;LARP1;PRKAR2B;PRKAR2A;PLCG2;NCKAP1L;LYN;SRPK2;JUN;XRCC6;RPL41;YES1;EIF2AK2;PARP14;GNG11;PARP10;RPS25;RPS28;RPS27;RPS29;RPL27A;CD28;GRB2;RPS20;CALR;CALM1;RPS21;RPS24;RPS23;RPLP1;ARPC1B;RPLP0;CLTA;AP2A1;ADM;IFIH1;MAP1LC3B;XPO1;CTSL;RPLP2;ELOB;NELFCD;JAK2;JAK3;JAK1;SYK;RIPK2;IFNGR1;PRMT1;IFNGR2;TUBB;IL18;DYNLL1;PARP9;DYNLL2;IL17RA;HCK;PSMA4;PACS1;IL1B;CANX;TLR8;VAMP2;TLR2;DYNC1I2;CTDP1;RNMT;RPL12;PTGER2;RPL11;WAS;GPS2;PRKX;PSMA7;RPS15A;PSMB2;PSMB3;PSMB1;AP2S1;RPL14;RPS3;RPL15;RPS2;RPS27A;RPL18;EPS15;RPL19;DYNC1H1;RANBP1;NPM1;CRBN;STAT1;CSNK1A1;STAT2;PTGES3;MYO9B;GTF2H2;PSMB8;GTF2H5;GATAD2A;PSMB9;VEGFA;FKBP1A;NLRP12;PSMC3;CTNNB1;PKN2;FAU;HSPA1A;CCNT2;CCNT1;GTF2B;ARID4A;ARID4B;NR3C1;RPL10A;COMT;ACTG1;IPO5;PYCARD;KPNA4;KPNA5;KPNA2;IL6R;AP2M1;MAP2K3;MAP2K1;RPS9;MAP2K2;RPS7;RPS8;RPS5;RPS6;CYBA;RPSA;ATP1B3;RBX1;SAP30;TUFM;ADAM17;CD8B;TBL1XR1;DPEP2;SNRPF;PPIA;KPNB1;IFNAR1;SNRPB;DDX5;PSMD12;CUL5;CUL3;ITPR2;GPR84;ADRB2;CORO1A;NUP160;UBB;IRAK2;HRH2;G3BP1;TPR;UBC;G3BP2;ATP6V1H;NLRP3;MAP2K7;CD163;UBE2I;TGFB1;ISG15;ARPC5;EEF2;NFKB1;NFKB2;CDK9;ARPC2;ARPC3;UBE2N;CHMP2A;RSL24D1;NFE2L2;YWHAE;GSK3A;HSP90AB1;PSIP1;CHD3;RPS4X;RPL7A;SUMO1;YWHAQ;CASP1;YWHAG;NCK1;YWHAH;ACTR3;ACTR2;ITGA4;EED;NCBP2;RPL13A;RPS3A;VPS37B;DDOST;DNAJC3;FGR;DAD1;LCK;RPL37A;IRF7;MYH9;NUP54;SLC25A5;NUP58;SLC25A6;CHMP5;SEC23A;HDAC3;CEBPD;ROCK2;HDAC1;TAF9;VPS4A;RPL36A;PSMB10;CDC42;MAPK8;GNG2;GNG5;PABPN1;POLR2A;RBBP4;POLR2B;POLR2C;S1PR1;SAP18;FYN;RBBP7;FCGR1A;WASF2;POLR2K;SEC24A;TAF15;CNBP;RPL35A;RPL23A;MAPK14;POMC;CD4;REST;FCGR2A;P2RX4;MGAT4A;CD9;PTPN6;CD247;TAF3;RAN;RPL26L1;TAF1
